country_code,Name,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,energy_use_per_capita,gdp_constant_usd,gdp_per_capita_constant,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion
IRL,Ireland,63.1381397367764,9.360256244139439,24.93069858891745,3149.9127593212997,247787769538.97772,54783.63434769677,16.17150722894592,14.855882928036216,6.204761904761905,8.095238095238095,0.0,5.095238095238095,3.2857142857142856,1.6666666904761904,0.6785714285714286,0.0,3.4285714285714284,4.5476190476190474,4.571428571428571,0.0,0.0,4.761904761904762,0.2261904761904762,0.30952380952380953,1.7857142857142858,0.7619047619047619,5.380952380952381,2.238095238095238
ISL,Iceland,68.81717076558246,10.590622286874929,0.0,15141.40516744687,16404179094.078114,51298.452548860616,14.307131012619896,25.13467694150343,72.5047619047619,0.0,0.0,0.0,2.9523809523809526,0.7619047619047619,4.25,0.0,0.0,3.738095238095238,3.761904761904762,0.0,0.0,5.238095238095238,0.0,0.4642857142857143,1.7857142857142858,1.5,0.0,0.0
ISR,Israel,60.51672674761587,8.697153690442748,57.02974728945188,2769.086586653314,259689396761.14825,33436.81025894856,10.330776304546875,1.2382161091954162,5.8619047619047615,0.11904761904761904,0.0,0.0,0.0,0.0,0.6547619047619048,0.0,2.5238095238095237,0.0,0.0,1.6666666666666667,0.0,3.857142857142857,0.0,0.4642857142857143,1.5873015476190475,0.0,0.0,1.0476190476190477
ITA,Italy,57.91316363112141,6.979170316291492,14.074942551560246,2815.0446279493426,1896656552481.779,32121.78241858275,8.364925222779638,12.380120208499894,11.861904761904762,7.619047619047619,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,1.1428571428571428,4.5476190476190474,4.571428571428571,4.761904761904762,0.0,4.238095238095238,0.0,0.0,1.7857142857142858,0.6428571428571429,6.0476190476190474,3.619047619047619
JPN,Japan,65.46471719354801,9.676700394155938,28.38234757320733,3700.215697113888,4280217482752.28,33594.55439645608,10.476497671409177,3.8416853740147574,5.185714285714286,3.3333333333333335,1.9523809523809523,1.3333333333333333,1.1428571428571428,0.0,0.0,0.0,2.857142857142857,0.0,0.5,3.761904761904762,0.0,3.5238095238095237,0.0,0.0,2.182539761904762,0.35714285714285715,6.0,2.2857142857142856
KOR,"Korea, Republic of",65.20274514701275,11.723801738338958,41.615700858846814,4768.8558739841465,1306231285992.7937,26191.91147958907,13.06857483856021,1.1582420927239723,1.7142857142857142,9.523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,1.5238095238095237,2.2857142857142856,2.2857142857142856,2.9047619047619047,0.0,4.190476190476191,0.0,0.0,1.7857142857142858,0.7023809523809523,7.095238095238095,3.1904761904761907
LTU,Lithuania,58.23474593110303,4.432948415280746,0.006969336542773796,2575.3277336624838,36553275419.47017,11961.2415143723,7.715886271005721,16.318266267412287,23.557142857142857,0.47619047619047616,0.0,0.0,0.0,5.380952523809524,0.8214285714285714,0.0,0.0,4.5476190476190474,4.571428571428571,1.0,0.0,3.1904761904761907,0.0,0.0,1.4285714285714286,0.6428571428571429,0.6666666666666666,0.0
LUX,Luxembourg,66.0466654100713,20.190997090153616,0.0,7691.800527334718,54134995311.0455,103938.58470686492,22.089879502389252,10.30103881014509,6.895238095238096,5.476190476190476,0.0,0.0,0.0,0.0,4.714285714285714,0.0,0.0,4.5476190476190474,4.571428571428571,3.8095238095238093,0.0,5.238095238095238,0.2261904761904762,0.0,1.7857142857142858,1.4761904761904763,2.4761904761904763,0.0
LVA,Latvia,58.163635839962936,3.7691099447534264,0.22476892204954405,2085.018780791237,23853738952.059544,11463.911372486202,5.9078157795193365,7.035840502461427,37.41904761904762,2.857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,4.5476190476190474,4.571428571428571,1.0952380952380953,0.0,5.238095238095238,0.0,0.0,1.4285714285714286,0.7142857142857143,0.0,0.0
MEX,Mexico,51.53235457296833,4.083042703932795,10.426627042448187,1587.7672910653087,1098767749844.7755,9681.169982020929,5.726062692626642,4.77489720062561,10.052380952380952,7.380952380952381,0.5238095238095238,0.42857142857142855,0.6666666666666666,0.19047619047619047,0.9047619047619048,0.0,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.0,0.0,3.238095238095238,0.0,0.0,1.7857142857142858,0.0,1.3333333333333333,1.7142857142857142
