country_code,Name,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion,log_gdp_pc,log_energy_pc,policy_score_norm
IDN,Indonesia,45.92250310410374,1.805318125977103,48.68246847055688,3.003518746973649,9.131837679509497,34.37142857142857,3.8095238095238098,0.0,0.0,0.0,0.0,0.0,0.0,2.636363636363636,0.0,0.0,2.4285714285714284,0.0,2.909090909090909,0.0,0.0,7.3333335,0.0,,1.818181818181818,7.917524934774364,6.532135790416847,
IND,India,43.53938241025368,1.3863734424790546,70.58095094505109,2.1697263527912662,2.810268395394032,38.67619047619048,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.5238095238095237,0.0,4.181818181818182,0.0,0.0,4.5,0.0,,3.272727272727273,7.150783994212917,6.265158418344659,
IRL,Ireland,63.1381397367764,9.36025624413944,24.93069858891745,16.17150722894592,14.855882928036216,6.204761904761905,8.095238095238095,0.0,5.095238095238095,3.2857142857142856,1.6666666904761904,0.6785714285714286,0.0,6.545454545454546,4.5476190476190474,4.571428571428571,0.0,0.0,9.090909090909092,0.2261904761904762,0.3095238095238095,7.5,0.7619047619047619,5.380952380952381,4.2727272727272725,10.911165038503023,8.055447454709853,
ISL,Iceland,68.81717076558246,10.590622286874927,0.0,14.307131012619896,25.13467694150343,72.5047619047619,0.0,0.0,0.0,2.952380952380953,0.7619047619047619,4.25,0.0,,3.738095238095238,3.761904761904762,0.0,0.0,10.0,0.0,0.4642857142857143,7.5,1.5,,,10.845435359539747,9.625254376160694,
ISR,Israel,60.51672674761587,8.697153690442748,57.02974728945188,10.330776304546877,1.2382161091954162,5.8619047619047615,0.119047619047619,0.0,0.0,0.0,0.0,0.6547619047619048,0.0,4.818181818181818,0.0,0.0,1.6666666666666667,0.0,7.363636363636363,0.0,0.4642857142857143,6.6666665,0.0,,2.0,10.417442582367608,7.926633857412448,
ITA,Italy,57.91316363112141,6.979170316291492,14.074942551560246,8.364925222779638,12.380120208499894,11.861904761904762,7.619047619047619,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,2.1818181818181817,4.5476190476190474,4.571428571428571,4.761904761904762,0.0,8.090909090909092,0.0,0.0,7.5,0.6428571428571429,6.0476190476190474,6.909090909090909,10.377320790043113,7.94308856514573,
JPN,Japan,65.46471719354801,9.676700394155938,28.38234757320733,10.476497671409176,3.8416853740147574,5.185714285714286,3.3333333333333335,1.9523809523809523,1.3333333333333333,1.1428571428571428,0.0,0.0,0.0,5.454545454545454,0.0,0.5,3.761904761904762,0.0,6.7272727272727275,0.0,0.0,9.166667,0.3571428571428571,6.0,4.363636363636363,10.422149027568322,8.216416611453607,
KOR,"Korea, Republic of",65.20274514701275,11.723801738338958,41.615700858846814,13.06857483856021,1.1582420927239725,1.7142857142857142,9.523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,2.909090909090909,2.2857142857142856,2.2857142857142856,2.9047619047619047,0.0,8.0,0.0,0.0,7.5,0.7023809523809523,7.842105263157895,6.090909090909091,10.173244098928636,8.470071368328238,
LTU,Lithuania,58.23474593110303,4.432948415280746,0.0069693365427737,7.715886271005721,16.318266267412287,23.557142857142857,0.4761904761904761,0.0,0.0,0.0,5.380952523809524,0.8214285714285714,0.0,,4.5476190476190474,4.571428571428571,1.0,0.0,6.090909090909091,0.0,0.0,6.0,0.6428571428571429,7.0,,9.389510427533798,7.8541203049323824,
LUX,Luxembourg,66.0466654100713,20.190997090153616,0.0,22.089879502389252,10.30103881014509,6.895238095238096,5.476190476190476,0.0,0.0,0.0,0.0,4.714285714285714,0.0,,4.5476190476190474,4.571428571428571,3.8095238095238098,0.0,10.0,0.2261904761904762,0.0,7.5,1.4761904761904765,4.0,,11.551565093046127,8.948040174009902,
LVA,Latvia,58.163635839962936,3.7691099447534264,0.224768922049544,5.9078157795193365,7.035840502461427,37.41904761904762,2.857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,,4.5476190476190474,4.571428571428571,1.0952380952380951,0.0,10.0,0.0,0.0,6.0,0.7142857142857143,,,9.347046464994895,7.643012638775815,
MEX,Mexico,51.53235457296833,4.083042703932795,10.426627042448189,5.726062692626642,4.77489720062561,10.052380952380952,7.380952380952381,0.5238095238095238,0.4285714285714285,0.6666666666666666,0.1904761904761904,0.9047619047619048,0.0,2.1818181818181817,0.1428571428571428,0.1428571428571428,0.0,0.0,6.181818181818182,0.0,0.0,7.5,0.0,3.5,3.272727272727273,9.17804132684428,7.370713705884445,
NLD,Netherlands,66.11678691810668,10.432086593408258,26.6623533258946,12.58494515844253,10.33798617668189,4.566666666666667,4.285714285714286,0.0,0.0,0.0,0.0,1.0476190476190477,0.0,6.818181818181818,4.666666666666667,4.690476190476191,4.619047619047619,0.0,9.636363636363637,0.2738095238095238,0.6428571428571429,6.0,0.0,9.238095238095235,4.636363636363637,10.705890771024196,8.432602945030292,
