country_code,Name,year,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion,log_gdp_pc,log_energy_pc
SVK,Slovakia,2016,-0.4118548253999844,-0.19347913360903105,-0.2709340073035833,-0.2862653300545557,0.5535421169709279,-0.1833315023984742,-1.132820109994337,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,1.5112739705389364,0.7991681105062187,0.7900421360506947,1.4030188507247185,-0.06379009321094964,1.2081614124622042,-0.2334248901073459,-0.22609336757768847,1.9208436191819644,-0.3282439722903227,1.3106373100824067,1.2910326339756104,-0.2683786524921008,0.029425264292966876
SVK,Slovakia,2017,-0.44004806519483236,-0.0910643100393564,-0.233422523596305,-0.19963228174840783,0.5124404176905603,-0.2423044064002906,-1.132820109994337,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,1.5112739705389364,0.8799254537223988,0.9465457685664265,-0.7473668006398786,-0.06379009321094964,1.2081614124622042,-0.2334248901073459,-0.22609336757768847,1.9208436191819644,-0.3282439722903227,-0.37267664623639857,1.2910326339756104,-0.24001040131770113,0.10523735994981448
SVK,Slovakia,2018,-0.40288268328430593,-0.11542299494962033,-0.20559250248000646,-0.2175445343771414,0.5373066102406286,-0.2423044064002906,-1.132820109994337,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,1.5112739705389364,1.1407405956954375,1.1371573403503592,-0.7473668006398786,-0.06379009321094964,1.2081614124622042,-0.2334248901073459,-0.22609336757768847,1.9208436191819644,-0.3282439722903227,0.032996161356922946,1.2910326339756104,-0.1989811235543185,0.08275647844104153
SVK,Slovakia,2019,-0.42101870040500855,-0.2305820702191299,-0.4244918741184677,-0.32567605888581586,0.5209242623957646,0.15357444237462267,-1.132820109994337,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,2.168143667647614,-0.2611164055357119,1.5112739705389364,1.1945128144226356,1.1920049372467338,-0.7473668006398786,-0.06379009321094964,1.26389841680295,4.283961447021715,-0.22609336757768847,1.9208436191819644,3.046656193322406,0.032996161356922946,1.2910326339756104,-0.17623368234319373,0.01403433202683932
SVK,Slovakia,2020,-0.37207373265828814,-0.33628311607116906,-0.5540903076632084,-0.41097631835926285,0.5274939790225487,0.15357444237462267,-1.132820109994337,-0.31868564215350637,-0.2929304033857258,-0.5033740092586794,-0.38079327208712127,2.168143667647614,-0.2611164055357119,1.5112739705389364,1.2448374134047613,1.2433871335272548,-0.7473668006398786,-0.06379009321094964,1.26389841680295,4.283961447021715,-0.22609336757768847,1.9208436191819644,3.046703734040332,-0.37267664623639857,1.2910326339756104,-0.2053077843559894,-0.03393402280674931
SVN,Slovenia,2000,-0.07364850680202566,0.06468427308227565,0.5540830052961648,0.1281273620790028,-1.1227786267097952,0.18062027574964387,-1.132820109994337,3.1439444926688234,3.4163947687630145,2.01406484847592,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.30637415743119123,0.08825368573669244
SVN,Slovenia,2001,-0.021258134788655795,0.272553197677466,0.5584982560817425,0.29067578871822125,-1.1375456932129742,0.22700305204936513,-1.132820109994337,3.1439444926688234,3.4163947687630145,2.01406484847592,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.27875731886492233,0.18298377366697738
SVN,Slovenia,2002,0.009263441510041779,0.30379576329244706,0.6211898951992955,0.343995715179275,-1.013525713377196,0.06274899787292258,-1.132820109994337,3.1439444926688234,3.4163947687630145,2.01406484847592,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.24593155632922728,0.18308010093994795
SVN,Slovenia,2003,0.024935717690953544,0.2863068865047763,0.638048357207458,0.328861549113233,-0.9165535582797621,0.1052438631779093,-1.132820109994337,3.1439444926688234,3.4163947687630145,2.01406484847592,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.2130767777381524,0.2079389045583375
SVN,Slovenia,2004,0.12314615152688074,0.3145886378437236,0.5581842973703572,0.3730676741133153,-0.964023242862865,0.167147906859373,-1.132820109994337,3.1439460416649414,3.4163947687630145,2.028741441092224,-0.38079327208712127,-0.4640980514343368,-0.2611164055357119,-0.7871988627262974,-0.9746230407285893,-0.9802977373487998,-0.7473668006398786,-0.06379009321094964,-0.9037525453476021,-0.2334248901073459,-0.22609336757768847,-0.5247597904995895,-0.3282439722903227,-1.0739737351119736,-0.8022263902469912,-0.1659734323058573,0.2521322130741884
