country_code,Name,nd_gain_score,co2_emissions_per_capita,coal_electricity_pct,ghg_emissions_per_capita,renewable_electricity_pct,renewable_final_energy_pct,building_energy_codes,carbon_tax_electricity,carbon_tax_industry,carbon_tax_transport,climate_governance,coal_phaseout,congestion_charge,energy_efficiency_mandate,ets_electricity,ets_industry,feed_in_tariff_solar,fossil_extraction_ban,fossil_fuel_subsidy_reform,fossil_heating_phaseout,ice_vehicle_phaseout,ndc,net_zero_target,rdd_renewables,renewables_expansion,log_gdp_pc,log_energy_pc
CZE,Czech Republic,0.22281185375363954,0.7955175893749487,1.1350205872437582,0.6557522335527508,-0.23644093080937628,-0.38335764718440873,-0.6014189744632492,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,-0.7955698784699593,-1.1555485686026719,-0.31617521812450383,0.5457411062633356,0.7874861039775296,0.7995389604423437,0.7665963219094614,-0.21821789023558477,-0.3156939133149792,-0.6071047276872574,-0.6389861698489856,-0.8381948382832214,-1.3371229271128162,-0.580185127879604,-0.8957142564197254,-0.30727739696004336,0.4409880964936035
DEU,Germany,1.0248529815822423,0.5045514507938423,0.8492351905898544,0.2852321831819424,1.170114436039864,-0.3859712016917349,0.2475732431518039,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,0.5480257840907546,-0.17106066049538834,-0.31617521812450383,0.390223016989677,0.7874861039775296,0.7995389604423437,1.252930066797684,-0.21821789023558477,-1.0969361803387416,0.7830483467181824,1.6530653564083857,0.49569669339330413,1.5044496734331234,0.5461976610822513,0.39259700052821583,0.6863295731486946,0.34666340227633424
DNK,Denmark,1.2762668825555317,0.1642135689164331,0.6901633736299412,0.1799228426600675,2.434544798384213,0.47096759164652596,0.4154110575254383,-0.5058100792234641,-0.5054558874745273,1.722792126181546,1.62558541876855,0.6118649302244398,-0.31617521812450383,0.885156473250631,0.7874861039775296,0.7995389604423437,0.22920507131162451,4.582566628691425,0.4134360770270208,2.1519366966618514,1.6289264886722452,0.49569669339330413,0.8112536773778766,1.7461220810284535,0.3539656664341139,1.0773090998463022,0.06686952759144903
ESP,Spain,0.008445249739782602,-0.14294807438173276,0.09361307349169809,-0.24734814620014867,1.1600648286716049,-0.2358752378302773,0.07915317665975542,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,-0.7955698784699593,-0.6865016429742804,-0.31617521812450383,0.6223754191201148,0.7874861039775296,0.7995389604423437,0.744892901171069,-0.21821789023558477,-0.4035560980976521,-0.6071047276872574,1.192002382294173,-0.8381948382832214,0.7677514573193198,-0.19542500186248066,1.1866280967437195,0.1801700008861986,-0.1336802320277763
EST,Estonia,0.11904467060600771,1.364180265132351,1.6215298596787593,1.245651372651065,0.4512370510001305,0.5190194451288055,-0.2596288366975717,2.06558938522856,-0.5054558874745273,-0.7243633339828708,-0.7955698784699593,0.1467889364513061,-0.31617521812450383,,0.7874861039775296,0.7995389604423437,0.5201925460417537,-0.21821789023558477,1.087011098291065,-0.6071047276872574,-0.6389861698489856,0.49569669339330413,-0.11951160729107764,-0.1790368436446647,,-0.3456675888612891,0.3684537695860846
FIN,Finland,1.6605232807834924,0.6585699386267199,0.12008677441160624,0.6488555529415243,1.189044383637391,1.1037056348323364,0.6661630776896146,-0.5058100792234641,-0.5054558874745273,1.7461979522274191,1.6493543632810346,0.8063557656716074,-0.31617521812450383,-0.26707599011479527,0.7874861039775296,0.7995389604423437,-1.2989187580838775,-0.21821789023558477,1.2071657594320198,2.0153826070364196,-0.6389861698489856,0.49569669339330413,1.118596111403147,1.7237594980714428,0.08109534515740212,0.8025196351876974,1.157900132204912
FRA,France,0.6959252949639148,-0.3854528969816729,-0.8908963900126972,-0.395919278885959,-0.4084657640573048,-0.334925122961488,0.9158105337305859,-0.5058100792234641,-0.5054558874745273,1.4581304422795014,1.0490643694660953,0.8893119054005761,-0.31617521812450383,-1.0512928758242326,0.7874861039775296,0.7995389604423437,1.0577404211240935,-0.21821789023558477,0.5200873006513067,1.5734142904151363,1.6786718200854893,0.49569669339330413,1.2040180974544457,0.5232395498131334,2.0615481636433866,0.5654621211491355,0.36275856786432836
GBR,United Kingdom,1.1291131093407378,0.07685967793886755,0.3464354626514395,0.0022047406308203857,0.807340745851409,-1.1328409307322107,1.4121608371685324,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,1.8072089253035664,0.8349419600384538,3.1966914421811494,0.885156473250631,1.0373115003157927,0.7995389604423437,0.07310375289929101,-0.21821789023558477,-1.4076624560978983,0.263068270137709,1.7139893009650398,0.49569669339330413,1.4413186654855,-0.5249296385898174,1.1494869731241566,0.8222183544495928,0.029925100865055284
GRC,Greece,-0.41772593441750616,0.10299797421356999,0.9494705167405693,0.014993799402578497,0.48999566196115896,-0.28218933911757493,0.07915317665975542,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,0.6979703348579401,-0.07824662114929806,-0.31617521812450383,-1.203039938080799,0.7874861039775296,0.7995389604423437,1.2146548016414438,-0.21821789023558477,-0.038954023999416366,-0.6071047276872574,-0.6389861698489856,0.49569669339330413,-0.347102137879621,-1.3655755936132465,1.112284811786452,-0.11336598231877149,-0.34576617386817043
HUN,Hungary,-0.38327862185918304,-0.4513604747727684,0.104039293711658,-0.48193777501761914,0.07210793590591297,-0.36949135230179025,1.2471193534709064,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,-0.7955698784699593,-0.8290012069427658,-0.31617521812450383,0.11017165089205196,0.7874861039775296,0.7995389604423437,0.12602250563441936,-0.21821789023558477,-0.3156939133149792,-0.6071047276872574,-0.6389861698489856,0.49569669339330413,0.296183469048033,-0.6197155679525183,-0.6028580172060848,-0.6238837571657574,-0.24091461805632872
IDN,Indonesia,-1.5032052502420883,-1.60441258577404,0.9476891685999609,-1.6529835985599437,0.4349600376028836,1.01628357208723,-0.4301104574068989,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,-0.7955698784699593,-1.1555485686026719,-0.31617521812450383,-0.6223445488458234,-1.4284309202089396,-1.4412807572407078,0.35361319264398267,-0.21821789023558477,-1.8559749447788014,-0.6071047276872574,-0.6389861698489856,0.31863286092550447,-1.3371229271128162,,-0.9809196317288632,-1.6837568289046023,-1.7203624566370501
IND,India,-1.686749616743194,-1.7871816248250418,1.3657414216347457,-1.9750148872355255,-0.6794190132869051,1.1942460695575359,-0.6014189744632492,-0.5058100792234641,-0.5054558874745273,-0.7243633339828708,-0.7955698784699593,-1.1555485686026719,-0.31617521812450383,1.6646279135074324,-1.4284309202089396,-1.4412807572407078,0.4020668988945991,-0.21821789023558477,-1.5434840746644012,-0.6071047276872574,-0.6389861698489856,-1.670091859322643,-1.3371229271128162,,-0.31710672979727317,-2.0549593899183556,-1.9443742153968522
IRL,Ireland,0.28040859333220236,0.41637204108420955,0.3055846980883723,0.9841417332385056,1.0115346235481533,-0.9109001793204914,1.0816766126773654,-0.5058100792234641,2.1190212153090755,1.6003951666884617,1.5073313523498442,0.35154342020684964,-0.31617521812450383,1.1042349811027674,0.7874861039775296,0.7995389604423437,-1.2989187580838775,-0.21821789023558477,0.6289759761259646,1.5304557469301798,1.4404424385693668,0.49569669339330413,0.27801077968576454,-0.3362277074419888,0.1203511004422611,1.1349618913803006,0.020954630236309488
ISL,Iceland,1.0592854269426761,0.6460356733332758,-1.5747567850061204,0.7296096867358883,1.7097232658056878,2.2619212013157632,-1.837228728436657,-0.5058100792234641,-0.5054558874745273,1.5680777669419472,1.0309157165019704,1.8203150964028485,-0.31617521812450383,,0.35044731467962126,0.35466581914150236,-1.2989187580838775,-0.21821789023558477,1.2071657594320198,-0.6071047276872574,1.6289264886722452,0.49569669339330413,1.1920232114474987,,,1.0426029174903697,2.842450624566876
