country_code,year,coal_electricity_pct,energy_use_per_capita,gdp_constant_usd,gdp_per_capita_constant,renewable_electricity_pct,renewable_final_energy_pct
DEU,2015,43.761539636192,3780.85027551891,3425099578746.09,41929.7549110722,26.1924483541027,14.6
DEU,2016,42.0011407504662,3765.21799936242,3501212900675.89,42516.9337063103,26.0014236319834,14.2
DEU,2017,38.6743314829064,3763.19404182465,3599173571724.7,43543.4807050551,30.0085816163727,15.2
DEU,2018,37.3124028054485,3659.22924485198,3640049243667.4,43905.8550061973,31.9113523236134,16.0
DEU,2019,29.9558259201835,3570.88159282488,3675639268112.03,44235.2658954682,36.3478037359309,17.1
DEU,2020,24.9710667255179,3349.19931383762,3523764998709.97,42372.8726784255,40.4475013119893,18.5
DEU,2021,29.4980254690038,3467.03057027911,3661544208117.2,44011.0194631674,35.618008802309,17.6
DEU,2022,32.7317259378633,3261.8564081995,3727790994177.62,44817.1316331389,,
DEU,2023,26.3522185820533,2928.19658713867,3695372350062.48,44368.9920074881,,
DEU,2024,,,3677048776153.86,44027.7631554469,,
FRA,2015,2.51007496081241,3799.19260526718,2442483452642.5,36702.4323733379,6.2562290589978,13.3
FRA,2016,2.1692688681752,3718.17053401513,2463489569347.31,36920.5342846914,6.75997569625276,14.2
FRA,2017,2.70195793280129,3705.41111644137,2514819204088.14,37580.5979329356,7.57946312853234,14.1
FRA,2018,1.81063399670575,3669.37065950443,2556210832760.02,38062.4435961412,8.33158544691332,15.2
FRA,2019,1.02762620446821,3605.53190025511,2608036638906.12,38705.2072940618,9.85332525979413,15.5
FRA,2020,0.92758355382912,3228.48915727036,2413981867676.36,35709.2045925926,11.7659779691869,16.8
FRA,2021,1.32081685836718,3469.83398574773,2580120255051.75,38030.8571685178,11.2953633731132,16.2
FRA,2022,1.23862081778108,3100.1897815932,2650215998256.03,38868.3303330557,,
FRA,2023,0.584217935547692,3136.12237461475,2688358302961.22,39319.4152227295,,
FRA,2024,,,2720362347819.81,39683.3953489029,,
GBR,2015,22.7677607348352,2774.79682774608,2945579890258.46,45255.3449216209,22.797935125061,7.7
GBR,2016,9.32108905665301,2696.97999020896,3010574705731.3,45888.0105130748,23.0155435498123,7.7
GBR,2017,6.90041460573928,2658.99577329303,3101591068534.48,47018.0254757676,27.5604645718062,8.8
GBR,2018,5.3369544621992,2632.15067210726,3149707010747.53,47514.7763693453,31.3778034424785,10.2
GBR,2019,2.45615988076353,2515.97344619501,3189276748351.15,47864.7588712634,35.1429075020641,11.4
GBR,2020,2.16650673330199,2317.4085386833,2868821517197.41,42982.4631007642,41.1642719597097,13.6
GBR,2021,2.50520838395915,2377.26368887082,3113908148054.35,46487.3424706549,37.8311738385223,12.2
GBR,2022,2.12662038459176,2254.36941582721,3274265196937.19,48433.009835767,,
GBR,2023,1.59309047281453,2127.6084341819,3283159739927.95,47934.9375098983,,
GBR,2024,,,3320141995547.62,47960.9105761942,,
IDN,2015,58.0348452404127,698.660737586188,860854232686.214,3288.22269725538,8.08662643566284,26.6
IDN,2016,57.0734497749981,718.57953489745,904181621780.388,3416.81005170972,8.02110060254748,27.8
IDN,2017,61.0255401892028,755.351304203294,950021694164.001,3553.51999262321,8.98691311092176,25.2
IDN,2018,59.9434834399358,826.038659966956,999178586309.021,3701.32155461912,8.5965183727374,22.0
IDN,2019,62.9132554502806,844.870039441295,1049330233997.45,3850.90321738979,8.09560604666851,19.8
